element_type,element,source,target,base_complexity,perturbed_complexity,delta,classification
vertex,ATPIF1,ATPIF1,,8525.516048543885,6821.606242129422,1703.9098064144628,positive
vertex,AURKB,AURKB,,8525.516048543885,6820.819884912638,1704.6961636312462,positive
vertex,AVPI1,AVPI1,,8525.516048543885,6844.108961126607,1681.4070874172776,positive
vertex,AW112010,AW112010,,8525.516048543885,6844.198337319896,1681.3177112239882,positive
vertex,B230120H23RIK,B230120H23RIK,,8525.516048543885,6844.136815055607,1681.3792334882774,positive
vertex,B230312A22RIK,B230312A22RIK,,8525.516048543885,6844.36874922198,1681.147299321905,positive
vertex,B4GALNT1,B4GALNT1,,8525.516048543885,6844.426857520646,1681.0891910232385,positive
vertex,B4GALT1,B4GALT1,,8525.516048543885,6813.355204076451,1712.160844467434,positive
vertex,BAG3,BAG3,,8525.516048543885,6844.4126368513225,1681.103411692562,positive
vertex,BASP1;LOC100045716,BASP1;LOC100045716,,8525.516048543885,6843.030780719857,1682.4852678240277,positive
vertex,BATF,BATF,,8525.516048543885,6830.347284119238,1695.1687644246467,positive
vertex,BATF3,BATF3,,8525.516048543885,7256.086896254856,1269.429152289029,positive
vertex,BC021614,BC021614,,8525.516048543885,7256.089584744143,1269.4264637997412,positive
vertex,BCAP29,BCAP29,,8525.516048543885,7256.892408940108,1268.6236396037766,positive
vertex,BCL11B,BCL11B,,8525.516048543885,6870.44788447812,1655.068164065765,positive
vertex,BCL2A1A;BCL2A1B;BCL2A1D,BCL2A1A;BCL2A1B;BCL2A1D,,8525.516048543885,6900.934662221695,1624.5813863221892,positive
vertex,BCL2L11,BCL2L11,,8525.516048543885,6875.982878319761,1649.5331702241238,positive
vertex,BCL3,BCL3,,8525.516048543885,6876.421113958876,1649.0949345850086,positive
vertex,BCL6,BCL6,,8525.516048543885,6876.276258085481,1649.239790458404,positive
vertex,BID,BID,,8525.516048543885,6876.7182134439545,1648.7978350999301,positive
vertex,BIRC2,BIRC2,,8525.516048543885,6876.474098907898,1649.0419496359864,positive
vertex,BLCAP,BLCAP,,8525.516048543885,6876.467404301661,1649.0486442422234,positive
vertex,BMP2K,BMP2K,,8525.516048543885,6876.355196538791,1649.160852005094,positive
vertex,BMPR1A,BMPR1A,,8525.516048543885,6876.388047011571,1649.1280015323136,positive
vertex,BUB1,BUB1,,8525.516048543885,6876.334076566355,1649.1819719775294,positive
vertex,BZW2,BZW2,,8525.516048543885,6876.234639783245,1649.2814087606394,positive
vertex,C79468,C79468,,8525.516048543885,6876.925574699109,1648.5904738447753,positive
vertex,CADM1,CADM1,,8525.516048543885,6877.110648965951,1648.4053995779332,positive
vertex,CALCRL,CALCRL,,8525.516048543885,6876.918251537138,1648.597797006747,positive
vertex,CALM2,CALM2,,8525.516048543885,6877.012164832171,1648.5038837117136,positive
vertex,CAPG,CAPG,,8525.516048543885,6877.181877249648,1648.3341712942365,positive
vertex,CAPN2,CAPN2,,8525.516048543885,6877.103716189422,1648.4123323544627,positive
vertex,CAR2,CAR2,,8525.516048543885,6906.877344368139,1618.6387041757453,positive
vertex,CASP1,CASP1,,8525.516048543885,6908.296485069125,1617.2195634747595,positive
vertex,CASP3,CASP3,,8525.516048543885,6876.693432921404,1648.822615622481,positive
vertex,CASP4,CASP4,,8525.516048543885,6876.745837228745,1648.77021131514,positive
vertex,CASP6,CASP6,,8525.516048543885,6876.728701941143,1648.7873466027413,positive
vertex,CBFB,CBFB,,8525.516048543885,6875.488888032025,1650.0271605118596,positive
vertex,CBR4;LOC100046395,CBR4;LOC100046395,,8525.516048543885,6875.759490876793,1649.7565576670913,positive
vertex,CCDC50,CCDC50,,8525.516048543885,6875.9627465381145,1649.55330200577,positive
vertex,CCDC88C,CCDC88C,,8525.516048543885,6875.374473925784,1650.141574618101,positive
vertex,CCL1,CCL1,,8525.516048543885,6876.413012155952,1649.1030363879327,positive
vertex,CCL20,CCL20,,8525.516048543885,6876.405697628411,1649.1103509154736,positive
vertex,CCL3,CCL3,,8525.516048543885,6850.646906930803,1674.8691416130814,positive
vertex,CCL4,CCL4,,8525.516048543885,6875.759431061759,1649.7566174821259,positive
vertex,CCNH,CCNH,,8525.516048543885,6876.804875121494,1648.7111734223909,positive
vertex,CCR4,CCR4,,8525.516048543885,6876.5335036421275,1648.9825449017571,positive
vertex,CCR5,CCR5,,8525.516048543885,6876.383288721698,1649.132759822187,positive
vertex,CCR6,CCR6,,8525.516048543885,6876.401601415733,1649.1144471281514,positive
vertex,CCR8,CCR8,,8525.516048543885,6876.400402000121,1649.1156465437634,positive
vertex,CCS,CCS,,8525.516048543885,6876.544848109072,1648.971200434813,positive
vertex,CD160,CD160,,8525.516048543885,6908.248307215345,1617.2677413285392,positive
vertex,CD1D1,CD1D1,,8525.516048543885,6908.221151619717,1617.294896924168,positive
vertex,CD2,CD2,,8525.516048543885,6875.793282570348,1649.7227659735363,positive
vertex,CD200,CD200,,8525.516048543885,6876.135061359877,1649.3809871840076,positive
vertex,CD247,CD247,,8525.516048543885,6875.217841128147,1650.298207415738,positive
vertex,CD24A,CD24A,,8525.516048543885,6875.33491824341,1650.1811303004743,positive
vertex,CD27,CD27,,8525.516048543885,6875.475471556891,1650.040576986994,positive
vertex,CD274,CD274,,8525.516048543885,6875.023065856993,1650.492982686892,positive
vertex,CD28,CD28,,8525.516048543885,6874.046774950146,1651.4692735937388,positive
vertex,CD38,CD38,,8525.516048543885,6900.864207227233,1624.6518413166514,positive
vertex,CD3D,CD3D,,8525.516048543885,6875.042740343803,1650.4733082000812,positive
vertex,CD3G,CD3G,,8525.516048543885,6875.039896811221,1650.4761517326633,positive
vertex,CD4,CD4,,8525.516048543885,6878.999328362115,1646.5167201817694,positive
vertex,CD47,CD47,,8525.516048543885,6878.854258354521,1646.6617901893633,positive
vertex,CD5L,CD5L,,8525.516048543885,6879.759266089102,1645.7567824547823,positive
vertex,CD70,CD70,,8525.516048543885,6875.881375293281,1649.6346732506036,positive
vertex,CD74,CD74,,8525.516048543885,6905.965493505923,1619.5505550379612,positive
vertex,CD80,CD80,,8525.516048543885,6905.821033049954,1619.6950154939304,positive
vertex,CD81,CD81,,8525.516048543885,6905.981983883422,1619.5340646604627,positive
vertex,CD83,CD83,,8525.516048543885,6907.046399387835,1618.4696491560499,positive
vertex,CD84,CD84,,8525.516048543885,6907.266859720532,1618.2491888233526,positive
vertex,CD86,CD86,,8525.516048543885,6906.849389245661,1618.6666592982237,positive
vertex,CD9,CD9,,8525.516048543885,6907.1410041339195,1618.375044409965,positive
vertex,CD96,CD96,,8525.516048543885,6907.168347225483,1618.347701318402,positive
vertex,CD97,CD97,,8525.516048543885,6907.096228047248,1618.419820496637,positive
vertex,CDC25B,CDC25B,,8525.516048543885,6906.4444526034495,1619.0715959404351,positive
