element_type,element,source,target,base_complexity,perturbed_complexity,delta,classification
vertex,PTPN6,PTPN6,,9845.769200138247,10482.677247548327,-636.9080474100792,negative
vertex,MBP,MBP,,9845.769200138247,10491.754845429914,-645.9856452916665,negative
vertex,PLP2,PLP2,,9845.769200138247,10492.413835443924,-646.6446353056763,negative
vertex,PLOD2,PLOD2,,9845.769200138247,10493.315529613234,-647.5463294749861,negative
vertex,MAZ,MAZ,,9845.769200138247,10493.444502792461,-647.6753026542137,negative
vertex,PLK2,PLK2,,9845.769200138247,10493.733563055359,-647.9643629171114,negative
vertex,MAX,MAX,,9845.769200138247,10494.022405982148,-648.253205843901,negative
vertex,PLEKHO1,PLEKHO1,,9845.769200138247,10494.04660447233,-648.2774043340833,negative
vertex,MS4A4B,MS4A4B,,9845.769200138247,10494.850104329136,-649.0809041908888,negative
vertex,LYSMD3,LYSMD3,,9845.769200138247,10495.074809790898,-649.3056096526507,negative
vertex,MAFF,MAFF,,9845.769200138247,10495.09029503032,-649.3210948920732,negative
vertex,MAOA,MAOA,,9845.769200138247,10495.114471918123,-649.3452717798755,negative
vertex,MADD,MADD,,9845.769200138247,10495.265034166097,-649.4958340278499,negative
vertex,MANF,MANF,,9845.769200138247,10495.380622315324,-649.6114221770767,negative
vertex,LTA,LTA,,9845.769200138247,10495.438298568317,-649.6690984300694,negative
vertex,MAPRE2,MAPRE2,,9845.769200138247,10495.501912038062,-649.7327118998146,negative
vertex,MRPL52,MRPL52,,9845.769200138247,10495.55229352692,-649.7830933886726,negative
vertex,MRPL45,MRPL45,,9845.769200138247,10495.696496229775,-649.9272960915278,negative
vertex,PMEPA1,PMEPA1,,9845.769200138247,10495.889681443523,-650.1204813052755,negative
vertex,MRPL35,MRPL35,,9845.769200138247,10496.019777557274,-650.2505774190267,negative
vertex,MAPKBP1,MAPKBP1,,9845.769200138247,10496.333767195878,-650.5645670576305,negative
vertex,MAP3K5,MAP3K5,,9845.769200138247,10496.663698091934,-650.8944979536864,negative
vertex,MYB,MYB,,9845.769200138247,10498.608330633268,-652.8391304950201,negative
vertex,PDE8A,PDE8A,,9845.769200138247,10499.034631912153,-653.2654317739052,negative
vertex,PDCD4,PDCD4,,9845.769200138247,10502.315694178049,-656.5464940398015,negative
vertex,PRDM1,PRDM1,,9845.769200138247,10503.70211333789,-657.9329131996419,negative
vertex,ZBP1,ZBP1,,9845.769200138247,10504.147729593149,-658.3785294549016,negative
vertex,PRICKLE1,PRICKLE1,,9845.769200138247,10505.297571303276,-659.5283711650281,negative
vertex,PRNP,PRNP,,9845.769200138247,10507.289659144622,-661.520459006375,negative
vertex,PSME2,PSME2,,9845.769200138247,10507.510875669876,-661.7416755316281,negative
vertex,NOTCH2,NOTCH2,,9845.769200138247,10508.843057251446,-663.0738571131988,negative
vertex,OASL2,OASL2,,9845.769200138247,10509.34668603891,-663.5774859006633,negative
vertex,NPC1,NPC1,,9845.769200138247,10509.459518336671,-663.6903181984235,negative
vertex,ZEB1,ZEB1,,9845.769200138247,10509.539764333727,-663.7705641954799,negative
vertex,WFS1,WFS1,,9845.769200138247,10509.599931048233,-663.8307309099855,negative
vertex,OAS3,OAS3,,9845.769200138247,10509.942164442027,-664.1729643037797,negative
vertex,ZDHHC20,ZDHHC20,,9845.769200138247,10510.199596831986,-664.4303966937387,negative
vertex,OAS1B,OAS1B,,9845.769200138247,10510.242514464444,-664.4733143261965,negative
vertex,NRIP1,NRIP1,,9845.769200138247,10510.43862548544,-664.6694253471924,negative
vertex,NUBP2,NUBP2,,9845.769200138247,10510.572554939634,-664.8033548013864,negative
vertex,OAS2,OAS2,,9845.769200138247,10510.793015397772,-665.0238152595248,negative
vertex,NR4A2,NR4A2,,9845.769200138247,10511.530588302327,-665.7613881640791,negative
vertex,NRARP,NRARP,,9845.769200138247,10511.755106521241,-665.9859063829936,negative
vertex,MTAP4,MTAP4,,9845.769200138247,10521.890707556784,-676.1215074185366,negative
vertex,MARCKSL1,MARCKSL1,,9845.769200138247,10522.151419365613,-676.3822192273656,negative
vertex,MT1,MT1,,9845.769200138247,10522.97149354976,-677.2022934115121,negative
vertex,MOSC2,MOSC2,,9845.769200138247,10524.123095204013,-678.3538950657658,negative
vertex,PRKCA,PRKCA,,9845.769200138247,10527.974398201213,-682.2051980629658,negative
vertex,NFKB1,NFKB1,,9845.769200138247,10528.772710029638,-683.0035098913904,negative
vertex,MYO6,MYO6,,9845.769200138247,10529.365571219843,-683.5963710815959,negative
vertex,MYD88,MYD88,,9845.769200138247,10529.623124122623,-683.8539239843758,negative
vertex,NFIL3,NFIL3,,9845.769200138247,10529.792296446829,-684.0230963085814,negative
vertex,NFU1,NFU1,,9845.769200138247,10530.061680845563,-684.2924807073159,negative
vertex,UBE1L,UBE1L,,9845.769200138247,10530.248205808804,-684.479005670557,negative
vertex,MXI1,MXI1,,9845.769200138247,10530.338713397745,-684.5695132594974,negative
vertex,NFKBIZ,NFKBIZ,,9845.769200138247,10530.379364227516,-684.6101640892684,negative
vertex,NFKBIE,NFKBIE,,9845.769200138247,10530.41857976954,-684.6493796312934,negative
vertex,UBIAD1,UBIAD1,,9845.769200138247,10531.293322145666,-685.5241220074186,negative
vertex,TRIM24,TRIM24,,9845.769200138247,10531.442794321762,-685.6735941835141,negative
vertex,NEK6,NEK6,,9845.769200138247,10531.49259269168,-685.7233925534329,negative
vertex,NFE2L2,NFE2L2,,9845.769200138247,10531.940249697142,-686.1710495588941,negative
vertex,MYO10,MYO10,,9845.769200138247,10532.252873934582,-686.4836737963342,negative
vertex,MYST4,MYST4,,9845.769200138247,10532.674301044988,-686.9051009067407,negative
vertex,NMI,NMI,,9845.769200138247,10533.262874759428,-687.4936746211806,negative
vertex,NMT2,NMT2,,9845.769200138247,10533.841790557386,-688.0725904191386,negative
vertex,PRKCQ,PRKCQ,,9845.769200138247,10534.057310070668,-688.2881099324204,negative
vertex,NIPA2,NIPA2,,9845.769200138247,10534.207076366527,-688.4378762282795,negative
vertex,NKG7,NKG7,,9845.769200138247,10534.235678247762,-688.4664781095144,negative
vertex,UTRN,UTRN,,9845.769200138247,10534.394342114287,-688.6251419760392,negative
vertex,UIMC1,UIMC1,,9845.769200138247,10534.39743195579,-688.6282318175417,negative
vertex,ULK2,ULK2,,9845.769200138247,10534.460718849885,-688.6915187116374,negative
vertex,VIM,VIM,,9845.769200138247,10534.82815848897,-689.0589583507226,negative
vertex,YPEL5,YPEL5,,9845.769200138247,10534.863740014629,-689.0945398763815,negative
