element_type,element,source,target,base_complexity,perturbed_complexity,delta,classification
vertex,NFIL3,NFIL3,,2426.8982019654795,2453.5882933762887,-26.690091410809146,negative
vertex,NFKB1,NFKB1,,2426.8982019654795,2453.3918668058477,-26.493664840368183,negative
vertex,NFKBIE,NFKBIE,,2426.8982019654795,2454.9901562812292,-28.091954315749717,negative
vertex,NFKBIZ,NFKBIZ,,2426.8982019654795,2454.6508345537536,-27.752632588274082,negative
vertex,NFU1,NFU1,,2426.8982019654795,2454.0898470419493,-27.19164507646974,negative
vertex,NHEDC2,NHEDC2,,2426.8982019654795,2454.0952001529963,-27.196998187516783,negative
vertex,NINJ1,NINJ1,,2426.8982019654795,2453.751983811604,-26.853781846124548,negative
vertex,NIPA2,NIPA2,,2426.8982019654795,2454.632868382616,-27.734666417136395,negative
vertex,NKG7,NKG7,,2426.8982019654795,2454.6582214874866,-27.760019522007042,negative
vertex,NMI,NMI,,2426.8982019654795,2453.92868877151,-27.030486806030694,negative
vertex,NMT2,NMT2,,2426.8982019654795,2454.061985408141,-27.163783442661497,negative
vertex,NOTCH1,NOTCH1,,2426.8982019654795,2454.1171125514547,-27.21891058597521,negative
vertex,NOTCH2,NOTCH2,,2426.8982019654795,2454.1405596166937,-27.242357651214206,negative
vertex,NPC1,NPC1,,2426.8982019654795,2454.153757939131,-27.255555973651553,negative
vertex,NR3C1,NR3C1,,2426.8982019654795,2453.653404681606,-26.755202716126405,negative
vertex,NR4A1,NR4A1,,2426.8982019654795,2454.0680501477896,-27.169848182310034,negative
vertex,NR4A2,NR4A2,,2426.8982019654795,2453.890144602632,-26.991942637152533,negative
vertex,NRARP,NRARP,,2426.8982019654795,2454.3012884531163,-27.403086487636756,negative
vertex,NRIP1,NRIP1,,2426.8982019654795,2454.314455895388,-27.416253929908635,negative
vertex,NSG2,NSG2,,2426.8982019654795,2453.879291158223,-26.98108919274364,negative
vertex,NT5C3L,NT5C3L,,2426.8982019654795,2454.082036965264,-27.183834999784267,negative
vertex,NUBP2,NUBP2,,2426.8982019654795,2453.6463667035746,-26.748164738095056,negative
vertex,NUCB2,NUCB2,,2426.8982019654795,2469.9260339535454,-43.02783198806583,negative
vertex,NUDT4,NUDT4,,2426.8982019654795,2469.9139789705205,-43.015777005040945,negative
vertex,NUF2,NUF2,,2426.8982019654795,2469.921453338269,-43.02325137278967,negative
vertex,OAS1B,OAS1B,,2426.8982019654795,2469.627859578954,-42.7296576134745,negative
vertex,OAS2,OAS2,,2426.8982019654795,2469.672152604579,-42.77395063909944,negative
vertex,OAS3,OAS3,,2426.8982019654795,2469.648902740061,-42.750700774581674,negative
vertex,OASL2,OASL2,,2426.8982019654795,2469.6354929615604,-42.7372909960809,negative
vertex,OXCT1,OXCT1,,2426.8982019654795,2470.1372914473786,-43.2390894818991,negative
vertex,OXR1,OXR1,,2426.8982019654795,2470.070425176475,-43.172223210995526,negative
vertex,P2RY14,P2RY14,,2426.8982019654795,2470.5867806264764,-43.68857866099688,negative
vertex,PACSIN1,PACSIN1,,2426.8982019654795,2470.5401644873295,-43.64196252185002,negative
vertex,PARP10,PARP10,,2426.8982019654795,2469.981625816863,-43.083423851383486,negative
vertex,PARP12,PARP12,,2426.8982019654795,2469.695933090345,-42.79773112486555,negative
vertex,PARP14,PARP14,,2426.8982019654795,2469.6921614217476,-42.79395945626811,negative
vertex,PARP8,PARP8,,2426.8982019654795,2469.996182333791,-43.097980368311255,negative
vertex,PARP9,PARP9,,2426.8982019654795,2470.258884828542,-43.360682863062266,negative
vertex,PCTK1,PCTK1,,2426.8982019654795,2470.117351230457,-43.21914926497766,negative
vertex,PDCD4,PDCD4,,2426.8982019654795,2470.6875627481295,-43.789360782649965,negative
vertex,PDE8A,PDE8A,,2426.8982019654795,2454.6558190362616,-27.75761707078209,negative
vertex,PDGFB,PDGFB,,2426.8982019654795,2454.24132225315,-27.343120287670445,negative
vertex,PDZK1IP1,PDZK1IP1,,2426.8982019654795,2454.843067477583,-27.94486551210366,negative
vertex,PECI,PECI,,2426.8982019654795,2454.826348858192,-27.928146892712448,negative
vertex,PELI1,PELI1,,2426.8982019654795,2454.8458943312876,-27.947692365808052,negative
vertex,PENK,PENK,,2426.8982019654795,2454.8614269238624,-27.963224958382852,negative
vertex,PERP,PERP,,2426.8982019654795,2454.841325973278,-27.94312400779836,negative
vertex,PET112L,PET112L,,2426.8982019654795,2454.7311075401,-27.832905574620327,negative
vertex,PGAP2,PGAP2,,2426.8982019654795,2454.8250360912098,-27.926834125730238,negative
vertex,PGRMC1,PGRMC1,,2426.8982019654795,2454.7096010096593,-27.81139904417978,negative
vertex,PHACTR2,PHACTR2,,2426.8982019654795,2454.769947578594,-27.8717456131144,negative
vertex,PHF13,PHF13,,2426.8982019654795,2454.733213983046,-27.83501201756644,negative
vertex,PHF21A,PHF21A,,2426.8982019654795,2454.5946143085694,-27.696412343089833,negative
vertex,PHIP,PHIP,,2426.8982019654795,2455.053148751055,-28.154946785575248,negative
vertex,PHLDA1,PHLDA1,,2426.8982019654795,2454.648589317308,-27.750387351828522,negative
vertex,PHLDB1,PHLDB1,,2426.8982019654795,2454.6383496522867,-27.740147686807177,negative
vertex,PHLPP1,PHLPP1,,2426.8982019654795,2454.6704902580927,-27.77228829261321,negative
vertex,PICALM,PICALM,,2426.8982019654795,2454.611901663439,-27.713699697959328,negative
vertex,PIK3R1,PIK3R1,,2426.8982019654795,2454.6272800091438,-27.72907804366423,negative
vertex,PIM1,PIM1,,2426.8982019654795,2454.5535464266063,-27.655344461126788,negative
vertex,PIM2,PIM2,,2426.8982019654795,2454.689055249549,-27.79085328406927,negative
vertex,PIP4K2A,PIP4K2A,,2426.8982019654795,2454.4378636947126,-27.539661729233103,negative
vertex,PITPNC1,PITPNC1,,2426.8982019654795,2454.4650395390163,-27.56683757353676,negative
vertex,PITPNM1,PITPNM1,,2426.8982019654795,2454.5356477846394,-27.637445819159893,negative
vertex,PIWIL2,PIWIL2,,2426.8982019654795,2455.070144724779,-28.171942759299327,negative
vertex,PKP4,PKP4,,2426.8982019654795,2454.5489813260797,-27.650779360600154,negative
vertex,PLA2G12A,PLA2G12A,,2426.8982019654795,2473.0950544214415,-46.196852455962016,negative
vertex,PLA2G16,PLA2G16,,2426.8982019654795,2473.126221653787,-46.22801968830754,negative
vertex,PLAGL1,PLAGL1,,2426.8982019654795,2473.102968115021,-46.20476614954168,negative
vertex,PLEC1,PLEC1,,2426.8982019654795,2473.0446078024233,-46.14640583694381,negative
vertex,PLEKHA2,PLEKHA2,,2426.8982019654795,2473.0082122388744,-46.11001027339489,negative
vertex,PLEKHF2,PLEKHF2,,2426.8982019654795,2473.0470717820135,-46.14886981653399,negative
vertex,PLEKHO1,PLEKHO1,,2426.8982019654795,2488.9231232538154,-62.02492128833592,negative
vertex,PLK2,PLK2,,2426.8982019654795,2488.9227437874283,-62.02454182194879,negative
vertex,PLOD2,PLOD2,,2426.8982019654795,2489.491790387743,-62.593588422263565,negative
vertex,PLOD3,PLOD3,,2426.8982019654795,2488.585812882496,-61.68761091701663,negative
vertex,PLP2,PLP2,,2426.8982019654795,2489.6932393646825,-62.79503739920301,negative
vertex,PLSCR1,PLSCR1,,2426.8982019654795,2504.527884144889,-77.62968217940943,negative
vertex,PLXNC1,PLXNC1,,2426.8982019654795,2491.10168606194,-64.20348409646067,negative
vertex,PLXND1,PLXND1,,2426.8982019654795,2510.0161736978025,-83.11797173232299,negative
vertex,PMEPA1,PMEPA1,,2426.8982019654795,2523.3754939485125,-96.47729198303296,negative
vertex,PML,PML,,2426.8982019654795,2506.0670688665714,-79.16886690109186,negative
vertex,POU2F2,POU2F2,,2426.8982019654795,2507.0715513311525,-80.17334936567295,negative
vertex,PPIC,PPIC,,2426.8982019654795,2506.540259200271,-79.64205723479154,negative
vertex,PPIL5,PPIL5,,2426.8982019654795,2507.2287293764293,-80.3305274109498,negative
vertex,PPP2R5A,PPP2R5A,,2426.8982019654795,2505.8570261749865,-78.95882420950693,negative
vertex,PPP3CA,PPP3CA,,2426.8982019654795,2505.695829169989,-78.79762720450935,negative
vertex,PRDM1,PRDM1,,2426.8982019654795,2506.0339031496205,-79.135701184141,negative
vertex,PRICKLE1,PRICKLE1,,2426.8982019654795,2506.161234940547,-79.26303297506729,negative
