element_type,element,source,target,base_complexity,perturbed_complexity,delta,classification
vertex,APOL9A;APOL9B,APOL9A;APOL9B,,1847.1926364470523,2576.336498255725,-729.1438618086727,negative
vertex,APOOL,APOOL,,1847.1926364470523,2576.170983696533,-728.9783472494805,negative
vertex,AQP3,AQP3,,1847.1926364470523,2576.682629024838,-729.4899925777859,negative
vertex,ARFGAP3;LOC100045474,ARFGAP3;LOC100045474,,1847.1926364470523,2576.5407511127305,-729.3481146656782,negative
vertex,ARHGAP12,ARHGAP12,,1847.1926364470523,2576.551001261525,-729.3583648144727,negative
vertex,ARHGAP18,ARHGAP18,,1847.1926364470523,2576.5242578948964,-729.3316214478441,negative
vertex,ARHGDIG,ARHGDIG,,1847.1926364470523,2575.8361620838687,-728.6435256368163,negative
vertex,ARHGEF3,ARHGEF3,,1847.1926364470523,2576.1630999789645,-728.9704635319122,negative
vertex,ARID5A,ARID5A,,1847.1926364470523,2593.1170938373743,-745.924457390322,negative
vertex,ARID5B;LOC100044968,ARID5B;LOC100044968,,1847.1926364470523,2593.147206546551,-745.9545700994986,negative
vertex,ARL4C;LOC632433,ARL4C;LOC632433,,1847.1926364470523,2593.109466989687,-745.9168305426347,negative
vertex,ARMCX2,ARMCX2,,1847.1926364470523,2593.2031691808425,-746.0105327337901,negative
vertex,ARMCX4,ARMCX4,,1847.1926364470523,2593.1983410468356,-746.0057045997833,negative
vertex,ARRB1,ARRB1,,1847.1926364470523,2593.096291171903,-745.9036547248506,negative
vertex,ARSA,ARSA,,1847.1926364470523,2611.1172121379204,-763.9245756908681,negative
vertex,ASAP1,ASAP1,,1847.1926364470523,2592.5440976244963,-745.351461177444,negative
vertex,ASF1A,ASF1A,,1847.1926364470523,2592.9288964852003,-745.736260038148,negative
vertex,ASNSD1,ASNSD1,,1847.1926364470523,2593.088952896862,-745.8963164498095,negative
vertex,ASS1,ASS1,,1847.1926364470523,2608.636383497563,-761.4437470505109,negative
vertex,ASTE1,ASTE1,,1847.1926364470523,2609.226187716084,-762.0335512690317,negative
vertex,ASXL1,ASXL1,,1847.1926364470523,2609.12035215558,-761.9277157085276,negative
vertex,ATE1,ATE1,,1847.1926364470523,2609.1672128051146,-761.9745763580622,negative
vertex,ATHL1,ATHL1,,1847.1926364470523,2609.370884140529,-762.1782476934768,negative
vertex,ATM,ATM,,1847.1926364470523,2609.0166165433952,-761.8239800963429,negative
vertex,ATP8A1,ATP8A1,,1847.1926364470523,2627.3276589322513,-780.135022485199,negative
vertex,ATPIF1,ATPIF1,,1847.1926364470523,2627.332071649009,-780.1394352019565,negative
vertex,AURKB,AURKB,,1847.1926364470523,2627.040962391148,-779.8483259440954,negative
vertex,AVPI1,AVPI1,,1847.1926364470523,2626.7897173970055,-779.5970809499531,negative
vertex,AW112010,AW112010,,1847.1926364470523,2627.237205811581,-780.0445693645288,negative
vertex,B230120H23RIK,B230120H23RIK,,1847.1926364470523,2627.3744652429923,-780.18182879594,negative
